model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
max,max_sens_spec,0.15605361,78,10000,1,0,0.876,0.033141741,0.114611307,0.02797019,0.060975692,0.01571265,0.121951384,0.0314253,0,0,0.876,0.033141741,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
max,max_sorensen,0.75080575,78,10000,0.368047786,0.174213795,0.9872,0.007259477,0.243315508,0.0778972,0.140347709,0.05188807,0.280695417,0.10377614,0.631952214,0.174213795,0.355247786,0.169221728,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
max,sensitivity,0.43713545,78,10000,0.856958042,0.016876219,0.8982,0.034708789,0.12212841,0.043752085,0.06550225,0.025042934,0.1310045,0.050085867,0.143041958,0.016876219,0.755158042,0.033783156,0.955704604,0.012272334,0.891743066,0.088785412,0.92291784,0.007183772
max,equal_sens_spec,0.23160804,79,10000,0.851372549,0.037720262,0.848,0.03318132,0.082750353,0.019820015,0.043249656,0.010724073,0.086499312,0.021448146,0.148627451,0.037720262,0.699372549,0.069974046,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,lpt,0.00766881,79,10000,1,0,0.7188,0.081545693,0.056508591,0.019114168,0.029155201,0.01009052,0.058310403,0.020181039,0,0,0.7188,0.081545693,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,max_fpb,0.98971328,79,10000,0.38503268,0.032685784,0.9984,0.00304959,0.493918421,0.100295348,0.332383107,0.083318942,0.664766214,0.166637884,0.61496732,0.032685784,0.38343268,0.031064665,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,max_jaccard,0.98971328,79,10000,0.38503268,0.032685784,0.9984,0.00304959,0.493918421,0.100295348,0.332383107,0.083318942,0.664766214,0.166637884,0.61496732,0.032685784,0.38343268,0.031064665,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,max_sens_spec,0.15378135,79,10000,0.956666667,0.041833001,0.8032,0.063061082,0.076617138,0.024182203,0.039965397,0.013007244,0.079930795,0.026014487,0.043333333,0.041833001,0.759866667,0.06169846,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,max_sorensen,0.98971328,79,10000,0.38503268,0.032685784,0.9984,0.00304959,0.493918421,0.100295348,0.332383107,0.083318942,0.664766214,0.166637884,0.61496732,0.032685784,0.38343268,0.031064665,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,sensitivity,0.16647362,79,10000,0.867581699,0.031894487,0.8125,0.059257911,0.072710671,0.022409952,0.037838276,0.011972538,0.075676552,0.023945076,0.132418301,0.031894487,0.680081699,0.063144715,0.931041111,0.020924774,0.966717699,0.016129188,0.914842419,0.005776082
max,equal_sens_spec,0.32339171,80,10000,0.891896086,0.030144054,0.8966,0.031787183,0.124132443,0.022571223,0.066297276,0.012874477,0.132594552,0.025748953,0.108103914,0.030144054,0.788496086,0.060628901,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,lpt,0.08155474,80,10000,1,0,0.8688,0.058941284,0.119183907,0.033599147,0.063641034,0.019093611,0.127282069,0.038187221,0,0,0.8688,0.058941284,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,max_fpb,0.85510319,80,10000,0.420172065,0.17157993,0.9807,0.015229905,0.234076681,0.054857662,0.133438283,0.035676082,0.266876566,0.071352163,0.579827935,0.17157993,0.400872065,0.156498116,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,max_jaccard,0.85510319,80,10000,0.420172065,0.17157993,0.9807,0.015229905,0.234076681,0.054857662,0.133438283,0.035676082,0.266876566,0.071352163,0.579827935,0.17157993,0.400872065,0.156498116,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,max_sens_spec,0.18190469,80,10000,1,0,0.8688,0.058941284,0.119183907,0.033599147,0.063641034,0.019093611,0.127282069,0.038187221,0,0,0.8688,0.058941284,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,max_sorensen,0.85510319,80,10000,0.420172065,0.17157993,0.9807,0.015229905,0.234076681,0.054857662,0.133438283,0.035676082,0.266876566,0.071352163,0.579827935,0.17157993,0.400872065,0.156498116,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,sensitivity,0.30914147,80,10000,0.869844804,0.029367816,0.8818,0.055311165,0.113754033,0.028275258,0.060498819,0.015987789,0.120997637,0.031975578,0.130155196,0.029367816,0.751644804,0.032918674,0.951511317,0.012367453,0.880318493,0.023678071,0.913433418,0.007078457
max,equal_sens_spec,0.18042597,80,10000,0.827922078,0.053765118,0.8164,0.037964457,0.0684058,0.018125667,0.035486865,0.009683986,0.07097373,0.019367972,0.172077922,0.053765118,0.644322078,0.091270831,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,lpt,0.07257247,80,10000,1,0,0.7234,0.045604824,0.055134722,0.014311097,0.028393817,0.007636286,0.056787634,0.015272573,0,0,0.7234,0.045604824,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,max_fpb,0.97462536,80,10000,0.371933622,0.089224293,0.995,0.003221025,0.37351671,0.02987772,0.229983766,0.022929939,0.459967532,0.045859877,0.628066378,0.089224293,0.366933622,0.086225945,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,max_jaccard,0.97462536,80,10000,0.371933622,0.089224293,0.995,0.003221025,0.37351671,0.02987772,0.229983766,0.022929939,0.459967532,0.045859877,0.628066378,0.089224293,0.366933622,0.086225945,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,max_sens_spec,0.12297353,80,10000,0.95,0.074535599,0.7988,0.076168891,0.076218118,0.027366263,0.03978843,0.014898077,0.07957686,0.029796154,0.05,0.074535599,0.7488,0.025799009,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,max_sorensen,0.97462536,80,10000,0.371933622,0.089224293,0.995,0.003221025,0.37351671,0.02987772,0.229983766,0.022929939,0.459967532,0.045859877,0.628066378,0.089224293,0.366933622,0.086225945,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,sensitivity,0.15020669,80,10000,0.86002886,0.019844549,0.7904,0.05216009,0.063544558,0.01779174,0.032884718,0.009501322,0.065769437,0.019002643,0.13997114,0.019844549,0.65042886,0.04251662,0.923101263,0.006274398,0.966273483,0.02572044,0.902444264,0.005800197
max,equal_sens_spec,0.08086008,82,10000,0.878084416,0.034005769,0.8802,0.029490676,0.111575174,0.03490529,0.059374097,0.019638581,0.118748193,0.039277161,0.121915584,0.034005769,0.758284416,0.061704323,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
max,lpt,0.02948991,82,10000,1,0,0.7394,0.046532784,0.06098357,0.017116263,0.031515198,0.009122693,0.063030395,0.018245387,0,0,0.7394,0.046532784,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
